station;x;y;h
ONSALA85;11.91776984;57.39307023;58.424
OV-VLBA;-118.27705382;37.23165054;1196.321
OVRO_130;-118.28272011;37.23145861;1200.860
OVR_7853;-118.29379220;37.23259996;1178.144
PARKES;148.26351410;-32.99840119;414.817
PBLOSSOM;-117.92239239;34.51213135;890.862
PENTICTN;-119.61989414;49.32258867;529.636
PICOVEL;-3.39260869;37.06616367;2921.720
PIETOWN;-108.11918935;34.30101752;2364.679
PINFLATS;-116.45880418;33.60924875;1235.554
PLATTVIL;-104.72634532;40.18279316;1501.385
PRESIDIO;-122.45507087;37.80530361;-29.436
PT_REYES;-122.93659706;38.10352684;-2.389
PVERDES;-118.40355278;33.74376292;69.347
QUINCY;-120.94442595;39.97455447;1105.761
RICHMOND;-80.38471026;25.61375733;-13.618
ROBLED32;-4.24902463;40.42873835;840.574
SAGARA;138.18287289;34.67755679;151.406
SANPAULA;-118.99879342;34.38786985;184.885
SANTIA12;-70.66831116;-33.15147356;730.289
SC-VLBA;-64.58363302;17.75658112;-14.998
SEATTLE1;-122.24912600;47.68568637;-16.435
SESHAN25;121.19965886;31.09916279;29.430
SEST;-70.73234815;-29.26345179;2415.756
SHANGHAI;121.42955087;31.19018022;17.780
SINTOTU;141.84458648;43.52877234;118.551
SINTOTU3;141.84458637;43.52877238;118.797
SNDPOINT;-160.47548943;55.35232138;92.739
SOURDOGH;-145.48371134;62.66390864;747.968
SUWON;127.05421157;37.27542639;81.470
SVETLOE;29.78193938;60.53234486;86.023
SYOWA;39.58628593;-69.00632471;51.026
TATEYAMA;139.84863315;34.93701612;126.159
TIDBIN64;148.98126616;-35.40242413;687.936
TIGOCONC;-73.02514786;-36.84271781;170.932
TIGOWTZL;12.87761548;49.14449562;658.891
TITIJIMA;142.19452036;27.09799531;98.937
TOMAKO11;141.59695027;42.67377036;89.871
TORUN;18.56405740;53.09546187;133.607
TOULOUSE;1.48337866;43.55920216;192.152
TROMSONO;18.93943996;69.66297428;132.926
TRYSILNO;12.38163918;61.42283462;723.960
TSUKU3;140.08717737;36.10563559;69.605
TSUKUB32;140.08873671;36.10314624;84.670
TSUKUBA;140.08698314;36.10563683;69.164
URUMQI;87.17813464;43.47150945;2033.340
USSURISK;131.75727289;44.01609679;155.032
USUDA64;138.36276624;36.13240430;1532.834
VERAIRIK;130.43988704;31.74789917;573.616
VERAISGK;124.17099376;24.41217620;65.111
VERAMZSW;141.13255560;39.13353519;116.525
VERAOGSW;142.21661356;27.09180187;273.152
VERNAL;-109.57072131;40.32696668;1590.548
VICTORIA;-123.48695755;48.38953577;25.230
VLA;-107.61833335;34.07881422;2114.831
VLA-N8;-107.61874540;34.08273187;2114.482
VNDNBERG;-120.61642122;34.55608157;-12.273
WESTFORD;-71.49379377;42.61294806;86.774
WETTZELL;12.87745034;49.14500788;669.126
WHTHORSE;-135.07707834;60.71124401;709.605
WSTRBOR7;6.60675464;52.91529547;70.911
WSTRBORK;6.63333414;52.91529187;71.211
YAKATAGA;-142.48646071;60.08146742;21.119
YAMAGUCH;131.55709023;34.21603617;165.618
YEBES;-3.08941408;40.52415403;979.868
YELLOWKN;-114.47238602;62.47935360;176.810
YLOW7296;-114.47930564;62.48058063;178.781
YUMA;-114.20313665;32.93913484;238.621
ZELENCHK;41.56516247;43.78780940;1175.008

